index,date,time,open,high,low,close
NIFTY,20080101,09:55,6138.6,6154.6,6138.6,6148.9
NIFTY,20080101,09:56,6149.75,6149.75,6132.8,6132.8
NIFTY,20080101,09:57,6138.25,6138.25,6127.95,6127.95
NIFTY,20080101,09:58,6127.15,6127.15,6120.9,6120.9
NIFTY,20080101,09:59,6118.05,6118.05,6113.55,6113.9
NIFTY,20080101,10:00,6114.05,6123.35,6114.05,6123.35
NIFTY,20080101,10:01,6125.7,6126.65,6124.2,6124.2
NIFTY,20080101,10:02,6123.6,6125.6,6122.85,6124.65
NIFTY,20080101,10:03,6124.85,6126.05,6121.9,6121.9
NIFTY,20080101,10:04,6121.15,6121.15,6111.35,6111.35
NIFTY,20080101,10:05,6110.5,6114.35,6110.5,6114.35
NIFTY,20080101,10:06,6115.85,6123.85,6115.85,6123.85
NIFTY,20080101,10:07,6124.65,6125.8,6124.65,6125.2
NIFTY,20080101,10:08,6125.85,6128.9,6125.85,6128.9
NIFTY,20080101,10:09,6128.5,6130.65,6128.5,6128.9
NIFTY,20080101,10:10,6128.7,6130.15,6128.6,6129.45
NIFTY,20080101,10:11,6128.7,6128.7,6126.5,6127.4
NIFTY,20080101,10:12,6125.75,6125.75,6123.15,6123.6
NIFTY,20080101,10:13,6124.15,6125.3,6123.8,6124.25
NIFTY,20080101,10:14,6123.65,6124,6123.25,6123.55
NIFTY,20080101,10:15,6124.85,6125.85,6123.45,6125.65
NIFTY,20080101,10:16,6126.65,6128.15,6125.8,6128.15
NIFTY,20080101,10:17,6129.1,6131.15,6128.8,6130.55
NIFTY,20080101,10:18,6130.75,6131.65,6129.95,6130
NIFTY,20080101,10:19,6130.65,6131.9,6129.85,6131.55
NIFTY,20080101,10:20,6132.2,6134.45,6132.2,6132.85
NIFTY,20080101,10:21,6132.8,6132.8,6130.35,6131.05
NIFTY,20080101,10:22,6129.65,6130.7,6128.7,6129
NIFTY,20080101,10:23,6129.75,6130.3,6129.35,6130
NIFTY,20080101,10:24,6130.15,6131.3,6130.15,6131.2
NIFTY,20080101,10:25,6132.25,6133.3,6132.25,6132.3
NIFTY,20080101,10:26,6132.5,6134.3,6132.5,6132.9
NIFTY,20080101,10:27,6133.35,6133.4,6132.5,6133.2
NIFTY,20080101,10:28,6133.15,6134.25,6133,6133.85
NIFTY,20080101,10:29,6134.4,6134.85,6134.2,6134.45
NIFTY,20080101,10:30,6134.85,6135.35,6134.35,6135.3
NIFTY,20080101,10:31,6135.25,6135.85,6135,6135
NIFTY,20080101,10:32,6135.55,6135.7,6134.75,6135.15
NIFTY,20080101,10:33,6135.35,6136.85,6135.35,6135.9
NIFTY,20080101,10:34,6135.65,6135.65,6133.25,6133.55
NIFTY,20080101,10:35,6133,6133.35,6131.35,6131.35
NIFTY,20080101,10:36,6131.2,6132.1,6128.5,6128.5
NIFTY,20080101,10:37,6128.15,6128.3,6126.6,6128.3
NIFTY,20080101,10:38,6128.45,6129.1,6128.1,6128.2
NIFTY,20080101,10:39,6129.2,6129.2,6128,6129.2
NIFTY,20080101,10:40,6130,6131.05,6130,6130.6
NIFTY,20080101,10:41,6130.85,6132.35,6130.85,6131.6
NIFTY,20080101,10:42,6132.2,6132.2,6131.3,6131.5
NIFTY,20080101,10:43,6130.85,6131.65,6130.8,6131.55
NIFTY,20080101,10:44,6131.55,6132.55,6131.4,6132.35
NIFTY,20080101,10:45,6133.3,6135.65,6133.3,6135.4
NIFTY,20080101,10:46,6135.4,6139.15,6135.4,6138.95
NIFTY,20080101,10:47,6139.35,6140.9,6139.35,6140.1
NIFTY,20080101,10:48,6141,6141.05,6139.55,6141.05
